Model,Attack_Type,APCER,BPCER,ACER,Threshold,Accuracy
BEiTModel,CL,0.967481,0.012688,0.490084,0.475,0.6747269890795632
BEiTModel,E-display,0.35485,0.030172,0.192511,0.575,0.862711130359463
BEiTModel,Fake with Add On,0.104478,0.065682,0.08508,0.5,0.9562841530054644
BEiTModel,Generated,0.295299,0.113105,0.204202,0.5,0.8423257372654156
BEiTModel,PostMortem,0.357729,0.050209,0.203969,0.4,0.8855663111165917
BEiTModel,Print and E-display,0.012741,0.036438,0.02459,0.5,0.9747597481497846
BEiTModel,Printed,0.456182,0.043865,0.250024,0.5,0.7890613523968075
BEiTModel,,0.802191,0.03257,0.417381,0.5,0.8842748301187453
CrossViTModel,CL,0.953997,0.015627,0.484812,0.125,0.6757150286011441
CrossViTModel,E-display,0.136855,0.026149,0.081502,0.475,0.9333585967951494
CrossViTModel,Fake with Add On,0.014925,0.025762,0.020344,0.5,0.9806819056414993
CrossViTModel,Generated,0.630575,0.021043,0.325809,0.525,0.8035634495084897
CrossViTModel,PostMortem,0.646523,0.023905,0.335214,0.35,0.8395092175843147
CrossViTModel,Print and E-display,0.004054,0.028083,0.016068,0.45,0.9839279796752458
CrossViTModel,Printed,0.42537,0.022281,0.223825,0.5,0.8155021299515253
CrossViTModel,,0.76689,0.028702,0.397796,0.55,0.8909328025259112
DeiTModel,CL,0.971129,0.007968,0.489549,0.5,0.6757150286011441
DeiTModel,E-display,0.13956,0.02112,0.08034,0.575,0.9412083152880034
DeiTModel,Fake with Add On,0.0,0.020579,0.010289,0.5,0.9842222735319018
DeiTModel,Generated,0.648654,0.016169,0.332412,0.5,0.8056858802502234
DeiTModel,PostMortem,0.563923,0.016711,0.290317,0.5,0.8654664282631481
DeiTModel,Print and E-display,0.000965,0.020037,0.010501,0.425,0.988622556058765
DeiTModel,Printed,0.455115,0.015395,0.235255,0.7,0.8221123243402046
DeiTModel,,0.909921,0.017716,0.463819,0.5,0.8831079689752214
MAEModel,CL,0.96415,0.011218,0.487684,0.45,0.6761310452418097
MAEModel,E-display,0.293004,0.027,0.160002,0.475,0.8882091814638372
MAEModel,Fake with Add On,0.014925,0.02816,0.021543,0.55,0.9760640344801047
