Team,Method,Supervision,AUROC,APCER%,BPCER%,ACER%,Notes
Dermalog-Iris,Patch-based 3-network fusion,Supervised,0.9057,10.69,28.26,19.48,
MSU D-NetPAD,DenseNet121,Supervised,0.9014,6.44,40.33,23.39,
BUCEA,Attention multi-level fusion,Supervised,0.8984,11.29,32.94,22.12,
Baseline ViT+Synth,ViT + GAN synthetic data,Supervised,0.8648,29.47,2.62,16.05,
Baseline ViT,ViT vanilla,Supervised,0.8450,28.94,2.45,15.70,
Baseline ResNet,ResNet101,Supervised,0.8242,30.03,2.24,16.13,
MSU SPAD,DenseNet121,Supervised,0.8043,25.38,27.62,26.50,
EF 004,Dynamic ensemble,Supervised,0.6827,16.62,87.06,51.84,
HDA,CLIP + LoRA,Supervised,0.5692,88.29,4.74,46.52,
IIT Mandi (Ours),BBDM Anomaly Detection,Unsupervised,N/A,33.04,19.93,26.49,Zero attack supervision
