================================================================================
DIFF-IRIPAD ZAK RESULTS (combined test: val attacks + test attacks)
ZAK tau (p90 bonafide val) = 0.1700
================================================================================
Attack                   N_atk     tau    APCER    BPCER     ACER      EER
Artifact                  2347  0.1700     0.89    10.66     5.78     5.18
CL                        9144  0.1700    83.73    10.66    47.19    40.95
E-display                 7915  0.1700    41.07    10.66    25.87    21.95
Fake with Add On           106  0.1700     2.83    10.66     6.75     7.55
Generated                 7964  0.1700    83.86    10.66    47.26    37.91
PostMortem                5489  0.1700     5.78    10.66     8.22     8.50
Print and E-display       7400  0.1700    40.51    10.66    25.59    21.53
Printed                  10247  0.1700    48.19    10.66    29.43    23.35
ALL                      50612  0.1700    51.10    10.66    30.88    27.73

================================================================================
ANODDPM DDIM SIMPLEX VIT ZAK RESULTS (combined test)
ZAK tau (p90 bonafide val) = 0.8586
================================================================================
Attack                   N_atk     tau    APCER    BPCER     ACER      EER
Artifact                  2347  0.8586    98.17     9.21    53.69    50.83
CL                        9144  0.8586    87.70     9.21    48.45    45.22
E-display                 7915  0.8586    98.65     9.21    53.93    75.27
Fake with Add On           106  0.8586    78.30     9.21    43.75    36.82
Generated                 7964  0.8586    88.69     9.21    48.95    44.99
PostMortem                5489  0.8586    77.21     9.21    43.21    26.85
Print and E-display       7400  0.8586    98.93     9.21    54.07    63.72
Printed                  10247  0.8586    80.77     9.21    44.99    47.67
ALL                      50612  0.8586    89.13     9.21    49.17    50.62

================================================================================
ABLATION STEPS ZAK RESULTS
================================================================================

--- Steps 10 (tau=0.2007) ---
Attack                    APCER    BPCER     ACER      EER
Artifact                   1.87     9.68     5.78     6.23
CL                        85.71     9.68    47.69    41.58
E-display                 53.24     9.68    31.46    26.73
Fake with Add On           6.60     9.68     8.14     7.55
Generated                 88.16     9.68    48.92    42.35
PostMortem                11.81     9.68    10.74    10.58
Print and E-display       53.64     9.68    31.66    26.70
Printed                   56.42     9.68    33.05    27.07
ALL                       58.33     9.68    34.00    30.98

--- Steps 50 (tau=0.1700) ---
Attack                    APCER    BPCER     ACER      EER
Artifact                   0.89    10.66     5.78     5.18
CL                        83.73    10.66    47.19    40.95
E-display                 41.07    10.66    25.87    21.95
Fake with Add On           2.83    10.66     6.75     7.55
Generated                 83.86    10.66    47.26    37.91
PostMortem                 5.78    10.66     8.22     8.50
Print and E-display       40.51    10.66    25.59    21.53
Printed                   48.19    10.66    29.43    23.35
ALL                       51.10    10.66    30.88    27.73

--- Steps 100 (tau=0.1645) ---
Attack                    APCER    BPCER     ACER      EER
Artifact                   0.98    11.19     6.08     5.34
CL                        82.33    11.19    46.76    40.99
E-display                 39.48    11.19    25.33    21.78
Fake with Add On           2.83    11.19     7.01     6.53
Generated                 82.73    11.19    46.96    37.54
PostMortem                 4.45    11.19     7.82     8.28
Print and E-display       39.64    11.19    25.41    21.57
Printed                   46.67    11.19    28.93    23.42
ALL                       49.84    11.19    30.52    27.85

--- Steps 200 (tau=0.1672) ---
Attack                    APCER    BPCER     ACER      EER
Artifact                   0.85    10.97     5.91     5.30
CL                        83.14    10.97    47.05    40.88
E-display                 40.48    10.97    25.73    22.09
Fake with Add On           2.83    10.97     6.90     6.44
Generated                 82.92    10.97    46.95    37.69
PostMortem                 5.28    10.97     8.13     8.38
Print and E-display       40.51    10.97    25.74    21.82
Printed                   48.16    10.97    29.57    23.95
ALL                       50.69    10.97    30.83    27.78
