==========================================================================================
DIFF-IRIPAD  Per-Attack ZAK  (combined test: val attacks + test attacks)
==========================================================================================
Attack                     p     tau   N_atk    APCER    BPCER     ACER      EER
Artifact                  92  0.1832    2347     1.32     8.71     5.02     5.18
CL                        39  0.0516    9144    11.82    69.32    40.57    40.95
E-display                 79  0.1164    7915    20.33    23.23    21.78    21.95
Fake with Add On          91  0.1754     106     2.83     9.86     6.34     7.55
Generated                 50  0.0637    7964    11.83    56.72    34.28    37.91
PostMortem                89  0.1631    5489     4.43    11.80     8.11     8.50
Print and E-display       80  0.1197    7400    20.95    22.07    21.51    21.53
Printed                   72  0.0996   10247    16.01    30.58    23.30    23.35
ALL                       69  0.0927   50612    21.88    34.44    28.16    27.73

==========================================================================================
ANODDPM  Per-Attack ZAK  (ViT scoring, combined test)
==========================================================================================
Attack                     p     tau   N_atk    APCER    BPCER     ACER      EER
Artifact                  18  0.3235    2347     0.00    82.93    41.46    50.83
CL                        21  0.4055    9144     2.45    79.73    41.09    45.22
E-display                  5  0.0905    7915     1.19    95.69    48.44    75.27
Fake with Add On          37  0.5960     106    11.32    62.96    37.14    36.82
Generated                 23  0.4466    7964     2.71    77.78    40.25    44.99
PostMortem                56  0.7120    5489     5.99    42.77    24.38    26.85
Print and E-display        9  0.1420    7400     1.45    91.92    46.68    63.72
Printed                   92  0.8676   10247    83.11     7.37    45.24    47.67
ALL                       10  0.1592   50612     3.18    91.10    47.14    50.62

==========================================================================================
ABLATION STEPS  Per-Attack ZAK
==========================================================================================

--- Steps 10 ---
Attack                     p     tau    APCER    BPCER     ACER      EER
Artifact                  92  0.2147     3.32     7.98     5.65     6.23
CL                        39  0.0686    14.39    66.98    40.69    41.58
E-display                 77  0.1390    29.65    23.63    26.64    26.73
Fake with Add On          91  0.2081     6.60     8.80     7.70     7.55
Generated                 40  0.0699    12.57    65.83    39.20    42.35
PostMortem                88  0.1848     8.20    12.21    10.20    10.58
Print and E-display       70  0.1216    22.27    31.09    26.68    26.70
Printed                   73  0.1287    26.34    27.79    27.06    27.07
ALL                       75  0.1333    35.80    25.89    30.85    30.98

--- Steps 50 ---
Attack                     p     tau    APCER    BPCER     ACER      EER
Artifact                  92  0.1832     1.32     8.71     5.02     5.18
CL                        39  0.0516    11.82    69.32    40.57    40.95
E-display                 79  0.1164    20.33    23.23    21.78    21.95
Fake with Add On          91  0.1754     2.83     9.86     6.34     7.55
Generated                 50  0.0637    11.83    56.72    34.28    37.91
PostMortem                89  0.1631     4.43    11.80     8.11     8.50
Print and E-display       80  0.1197    20.95    22.07    21.51    21.53
Printed                   72  0.0996    16.01    30.58    23.30    23.35
ALL                       69  0.0927    21.88    34.44    28.16    27.73

--- Steps 100 ---
Attack                     p     tau    APCER    BPCER     ACER      EER
Artifact                  94  0.2021     3.58     6.60     5.09     5.34
CL                        38  0.0500    11.11    70.22    40.66    40.99
E-display                 74  0.1023    15.96    28.97    22.46    21.78
Fake with Add On          91  0.1724     2.83    10.06     6.44     6.53
Generated                 50  0.0633    12.46    56.46    34.46    37.54
PostMortem                90  0.1645     4.45    11.19     7.82     8.28
Print and E-display       79  0.1151    19.61    23.30    21.45    21.57
Printed                   74  0.1023    17.77    28.97    23.37    23.42
ALL                       72  0.0978    24.66    31.08    27.87    27.85

--- Steps 200 ---
Attack                     p     tau    APCER    BPCER     ACER      EER
Artifact                  93  0.1909     1.87     7.54     4.71     5.30
CL                        42  0.0542    15.34    65.60    40.47    40.88
E-display                 78  0.1135    19.90    24.13    22.01    22.09
Fake with Add On          93  0.1909     4.72     7.54     6.13     6.44
Generated                 49  0.0623    11.83    57.78    34.81    37.69
PostMortem                90  0.1672     5.28    10.97     8.13     8.38
Print and E-display       78  0.1135    18.89    24.13    21.51    21.82
Printed                   75  0.1070    20.16    26.70    23.43    23.95
ALL                       63  0.0817    17.23    40.95    29.09    27.78
