Model,Attack_Type,APCER,BPCER,ACER,Threshold,Accuracy
AnoDDPM_DDIM_ViT,Artifact,0.0,0.8263,0.4132,0.3326,0.2669
AnoDDPM_DDIM_ViT,Contact Lens,0.0236,0.7967,0.4102,0.4074,0.4567
AnoDDPM_DDIM_ViT,E-display,0.0162,0.9474,0.4818,0.0983,0.3322
AnoDDPM_DDIM_ViT,Fake w/ Add-On,0.1194,0.6283,0.3738,0.5968,0.3744
AnoDDPM_DDIM_ViT,Generated,0.0245,0.777,0.4008,0.4468,0.4322
AnoDDPM_DDIM_ViT,Post-Mortem,0.0556,0.4237,0.2396,0.7139,0.651
AnoDDPM_DDIM_ViT,Print & E-disp.,0.0156,0.9171,0.4664,0.1456,0.3408
AnoDDPM_DDIM_ViT,Printed,0.8366,0.0765,0.4566,0.8663,0.6445
AnoDDPM_DDIM_ViT,,0.0247,0.9165,0.4706,0.1461,0.7323
AnoDDPM_DDIM_Fixed,Artifact,0.1071,0.8433,0.4752,0.4557,0.2397
AnoDDPM_DDIM_Fixed,Contact Lens,0.3368,0.5026,0.4197,0.5177,0.5518
AnoDDPM_DDIM_Fixed,E-display,0.0011,0.9984,0.4997,0.3476,0.3011
AnoDDPM_DDIM_Fixed,Fake w/ Add-On,0.4179,0.3272,0.3725,0.5463,0.6724
AnoDDPM_DDIM_Fixed,Generated,0.2447,0.2607,0.2527,0.5587,0.7437
AnoDDPM_DDIM_Fixed,Post-Mortem,0.1342,0.4766,0.3054,0.5218,0.5929
AnoDDPM_DDIM_Fixed,Print & E-disp.,0.0,0.9981,0.4991,0.3505,0.2874
AnoDDPM_DDIM_Fixed,Printed,0.6168,0.3344,0.4756,0.5449,0.562
AnoDDPM_DDIM_Fixed,,0.5659,0.3343,0.4501,0.545,0.4972
AnoDDPM_DDIM_Dynamic,Artifact,0.0487,0.9093,0.479,0.308,0.1877
AnoDDPM_DDIM_Dynamic,Contact Lens,0.3345,0.6451,0.4898,0.3945,0.4567
AnoDDPM_DDIM_Dynamic,E-display,0.156,0.2923,0.2241,0.5071,0.7486
AnoDDPM_DDIM_Dynamic,Fake w/ Add-On,0.3284,0.8143,0.5713,0.3554,0.1882
AnoDDPM_DDIM_Dynamic,Generated,0.0998,0.4057,0.2528,0.4565,0.6793
AnoDDPM_DDIM_Dynamic,Post-Mortem,0.055,0.9231,0.489,0.2988,0.2532
AnoDDPM_DDIM_Dynamic,Print & E-disp.,0.1284,0.4246,0.2765,0.4496,0.6601
AnoDDPM_DDIM_Dynamic,Printed,0.5026,0.318,0.4103,0.4934,0.6142
AnoDDPM_DDIM_Dynamic,,0.3636,0.431,0.3973,0.4476,0.618
