Model,Attack_Type,APCER,BPCER,ACER,Threshold,Accuracy
DDPM_Vanilla_Gaussian_t1000,Artifact,0.007304,0.997679,0.502491,1.659003,0.114009
DDPM_Vanilla_Gaussian_t1000,CL,0.000952,0.99443,0.497691,1.584451,0.331253
DDPM_Vanilla_Gaussian_t1000,E-display,0.07555,0.906235,0.490893,1.292082,0.343168
DDPM_Vanilla_Gaussian_t1000,Fake with Add On,0.014925,0.984837,0.499881,1.45721,0.020165
DDPM_Vanilla_Gaussian_t1000,Generated,0.202893,0.710583,0.456738,1.191222,0.430574
DDPM_Vanilla_Gaussian_t1000,PostMortem,0.182205,0.513925,0.348065,1.131205,0.553425
DDPM_Vanilla_Gaussian_t1000,Print and E-display,0.255985,0.456444,0.356214,1.114358,0.600906
DDPM_Vanilla_Gaussian_t1000,Printed,0.559557,0.348445,0.454001,1.084536,0.574059
DDPM_Vanilla_Gaussian_t1000,,0.478034,0.500542,0.489288,1.126868,0.515833
DDPM_Partial_Gaussian_t500,Artifact,0.017651,0.995049,0.50635,1.200339,0.115176
DDPM_Partial_Gaussian_t500,CL,0.023319,0.977178,0.500248,1.138213,0.335517
DDPM_Partial_Gaussian_t500,E-display,0.480166,0.506112,0.493139,0.991043,0.501678
DDPM_Partial_Gaussian_t500,Fake with Add On,0.029851,0.987003,0.508427,1.160487,0.017933
DDPM_Partial_Gaussian_t500,Generated,0.241462,0.524679,0.383071,0.994183,0.554066
DDPM_Partial_Gaussian_t500,PostMortem,0.25782,0.522745,0.390282,0.993892,0.531044
DDPM_Partial_Gaussian_t500,Print and E-display,0.235521,0.36825,0.301886,0.966913,0.669723
DDPM_Partial_Gaussian_t500,Printed,0.534747,0.294677,0.414712,0.951918,0.617196
DDPM_Partial_Gaussian_t500,,0.402892,0.505261,0.454076,0.99087,0.569212
DDPM_AnoDDPM_Simplex_t500,Artifact,0.252587,0.726598,0.489592,0.891151,0.326858
DDPM_AnoDDPM_Simplex_t500,CL,0.401332,0.700449,0.550891,0.887832,0.397608
DDPM_AnoDDPM_Simplex_t500,E-display,0.049225,0.872505,0.460865,0.923477,0.374675
DDPM_AnoDDPM_Simplex_t500,Fake with Add On,0.432836,0.479344,0.45609,0.862643,0.520896
DDPM_AnoDDPM_Simplex_t500,Generated,0.137405,0.244159,0.190782,0.832633,0.785523
DDPM_AnoDDPM_Simplex_t500,PostMortem,0.360765,0.236268,0.298517,0.831342,0.738455
DDPM_AnoDDPM_Simplex_t500,Print and E-display,0.333977,0.469519,0.401748,0.861626,0.569259
DDPM_AnoDDPM_Simplex_t500,Printed,0.72549,0.196194,0.460842,0.824734,0.609509
DDPM_AnoDDPM_Simplex_t500,,0.445694,0.412734,0.429214,0.855444,0.563288
DDPM_AnoDDPM_DDIM_Simplex_t500,Artifact,0.066342,0.901439,0.483891,0.90849,0.192738
DDPM_AnoDDPM_DDIM_Simplex_t500,CL,0.385945,0.60738,0.496663,0.793697,0.465211
DDPM_AnoDDPM_DDIM_Simplex_t500,E-display,0.127119,0.31866,0.222889,0.664966,0.738848
DDPM_AnoDDPM_DDIM_Simplex_t500,Fake with Add On,0.283582,0.849838,0.56671,0.871479,0.153082
DDPM_AnoDDPM_DDIM_Simplex_t500,Generated,0.084572,0.447857,0.266215,0.737014,0.65315
DDPM_AnoDDPM_DDIM_Simplex_t500,PostMortem,0.051928,0.932152,0.49204,0.940493,0.246563
DDPM_AnoDDPM_DDIM_Simplex_t500,Print and E-display,0.097876,0.447934,0.272905,0.737025,0.652215
DDPM_AnoDDPM_DDIM_Simplex_t500,Printed,0.520475,0.309299,0.414887,0.65709,0.613181
DDPM_AnoDDPM_DDIM_Simplex_t500,,0.378144,0.428671,0.403408,0.728467,0.608087
DDPM_AnoDDPM_DDIM_Simplex_t500_ViT,Artifact,0.000609,0.827325,0.413967,0.327585,0.265907
DDPM_AnoDDPM_DDIM_Simplex_t500_ViT,CL,0.020305,0.803574,0.411939,0.389515,0.453198
DDPM_AnoDDPM_DDIM_Simplex_t500_ViT,E-display,0.011179,0.950565,0.480872,0.093405,0.331475
DDPM_AnoDDPM_DDIM_Simplex_t500_ViT,Fake with Add On,0.119403,0.624014,0.371708,0.597918,0.378588
DDPM_AnoDDPM_DDIM_Simplex_t500_ViT,Generated,0.013258,0.787869,0.400564,0.419958,0.427502
DDPM_AnoDDPM_DDIM_Simplex_t500_ViT,PostMortem,0.051928,0.430373,0.241151,0.710491,0.646464
DDPM_AnoDDPM_DDIM_Simplex_t500_ViT,Print and E-display,0.014479,0.917298,0.465889,0.143578,0.340992
DDPM_AnoDDPM_DDIM_Simplex_t500_ViT,Printed,0.87435,0.055005,0.464678,0.88169,0.644225
DDPM_AnoDDPM_DDIM_Simplex_t500_ViT,,0.023444,0.916215,0.46983,0.144104,0.733271
