Model,Attack_Type,APCER,BPCER,ACER,Threshold,Accuracy
DDPM_Vanilla_Gaussian_t1000,Artifact,0.758977,0.500542,0.62976,1.126868,0.470314
DDPM_Vanilla_Gaussian_t1000,CL,0.641497,0.500542,0.57102,1.126868,0.45325
DDPM_Vanilla_Gaussian_t1000,E-display,0.638298,0.500542,0.56942,1.126868,0.458099
DDPM_Vanilla_Gaussian_t1000,Fake with Add On,0.761194,0.500542,0.630868,1.126868,0.498114
DDPM_Vanilla_Gaussian_t1000,Generated,0.484532,0.500542,0.492537,1.126868,0.50391
DDPM_Vanilla_Gaussian_t1000,PostMortem,0.200729,0.500542,0.350635,1.126868,0.56033
DDPM_Vanilla_Gaussian_t1000,Print and E-display,0.214286,0.500542,0.357414,1.126868,0.581354
DDPM_Vanilla_Gaussian_t1000,Printed,0.45765,0.500542,0.479096,1.126868,0.515203
DDPM_Vanilla_Gaussian_t1000,,0.478034,0.500542,0.489288,1.126868,0.515833
DDPM_Partial_Gaussian_t500,Artifact,0.664029,0.505261,0.584645,0.99087,0.476834
DDPM_Partial_Gaussian_t500,CL,0.636739,0.505261,0.571,0.99087,0.451638
DDPM_Partial_Gaussian_t500,E-display,0.481969,0.505261,0.493615,0.99087,0.501732
DDPM_Partial_Gaussian_t500,Fake with Add On,0.791045,0.505261,0.648153,0.99087,0.493266
DDPM_Partial_Gaussian_t500,Generated,0.259542,0.505261,0.382401,0.99087,0.563059
DDPM_Partial_Gaussian_t500,PostMortem,0.287276,0.505261,0.396268,0.99087,0.538997
DDPM_Partial_Gaussian_t500,Print and E-display,0.146911,0.505261,0.326086,0.99087,0.597261
DDPM_Partial_Gaussian_t500,Printed,0.409897,0.505261,0.457579,0.99087,0.529746
DDPM_Partial_Gaussian_t500,,0.402892,0.505261,0.454076,0.99087,0.569212
DDPM_AnoDDPM_Simplex_t500,Artifact,0.65916,0.412734,0.535947,0.855444,0.559476
DDPM_AnoDDPM_Simplex_t500,CL,0.647684,0.412734,0.530209,0.855444,0.510244
DDPM_AnoDDPM_Simplex_t500,E-display,0.605662,0.412734,0.509198,0.855444,0.529342
DDPM_AnoDDPM_Simplex_t500,Fake with Add On,0.447761,0.412734,0.430248,0.855444,0.587085
DDPM_AnoDDPM_Simplex_t500,Generated,0.020088,0.412734,0.216411,0.855444,0.696437
DDPM_AnoDDPM_Simplex_t500,PostMortem,0.181901,0.412734,0.297318,0.855444,0.634133
DDPM_AnoDDPM_Simplex_t500,Print and E-display,0.405405,0.412734,0.40907,0.855444,0.589363
DDPM_AnoDDPM_Simplex_t500,Printed,0.537015,0.412734,0.474874,0.855444,0.541644
DDPM_AnoDDPM_Simplex_t500,,0.445694,0.412734,0.429214,0.855444,0.563288
DDPM_AnoDDPM_DDIM_Simplex_t500,Artifact,0.728545,0.428671,0.578608,0.728467,0.537511
DDPM_AnoDDPM_DDIM_Simplex_t500,CL,0.600412,0.428671,0.514542,0.728467,0.515029
DDPM_AnoDDPM_DDIM_Simplex_t500,E-display,0.07555,0.428671,0.25211,0.728467,0.67735
DDPM_AnoDDPM_DDIM_Simplex_t500,Fake with Add On,0.716418,0.428671,0.572544,0.728467,0.569845
DDPM_AnoDDPM_DDIM_Simplex_t500,Generated,0.115508,0.428671,0.27209,0.728467,0.6584
DDPM_AnoDDPM_DDIM_Simplex_t500,PostMortem,0.945946,0.428671,0.687308,0.728467,0.466305
DDPM_AnoDDPM_DDIM_Simplex_t500,Print and E-display,0.128958,0.428671,0.278814,0.728467,0.657075
DDPM_AnoDDPM_DDIM_Simplex_t500,Printed,0.43244,0.428671,0.430555,0.728467,0.569946
DDPM_AnoDDPM_DDIM_Simplex_t500,,0.378144,0.428671,0.403408,0.728467,0.608087
