Model,Attack_Type,APCER,BPCER,ACER,Threshold,Accuracy
DenseNet121,CL,0.970654,0.006576,0.488615,0.375,0.6759230369214768
DenseNet121,E-display,0.31987,0.01965,0.16976,0.55,0.8677457773928108
DenseNet121,Fake with Add On,0.149254,0.014158,0.081706,0.5,0.988917109212653
DenseNet121,Generated,0.377662,0.021352,0.199507,0.4,0.8693029490616622
DenseNet121,PostMortem,0.203766,0.014544,0.109155,0.5,0.9432147481349035
DenseNet121,Print and E-display,0.012162,0.01818,0.015171,0.5,0.9851982768143157
DenseNet121,Printed,0.248766,0.020347,0.134556,0.45,0.8778338148166284
DenseNet121_LastBlock,CL,0.953046,0.010754,0.4819,0.275,0.6770150806032241
DenseNet121_LastBlock,E-display,0.25604,0.051679,0.15386,0.5,0.8851234300563015
DenseNet121_LastBlock,Fake with Add On,0.074627,0.049358,0.061992,0.475,0.9777572539059494
DenseNet121_LastBlock,Generated,0.511651,0.034504,0.273078,0.475,0.8195375335120644
DenseNet121_LastBlock,PostMortem,0.220164,0.047346,0.133755,0.45,0.907762500770701
DenseNet121_LastBlock,Print and E-display,0.035714,0.03698,0.036347,0.5,0.9640450679332818
DenseNet121_LastBlock,Printed,0.260904,0.030094,0.145499,0.5,0.8788620672770896
DenseNet121_LastBlock,,0.718198,0.049667,0.383933,0.5,0.8826274967396527
EfficientNetV2SModel,Fake with Add On,0.029851,0.033808,0.031829,0.275,0.9846070961286847
EfficientNetV2SModel,,0.931832,0.009284,0.470558,0.5,0.8855789690438602
EfficientNetV2SModel_LastBlock,CL,0.982709,0.013229,0.497969,0.325,0.6705148205928237
EfficientNetV2SModel_LastBlock,E-display,0.356113,0.083785,0.219949,0.4,0.8223798181030749
EfficientNetV2SModel_LastBlock,Fake with Add On,0.074627,0.092295,0.083461,0.375,0.9668282921573155
EfficientNetV2SModel_LastBlock,Generated,0.44777,0.075584,0.261677,0.4,0.7995978552278821
EfficientNetV2SModel_LastBlock,PostMortem,0.272396,0.068235,0.170315,0.425,0.8946297552253529
EfficientNetV2SModel_LastBlock,Print and E-display,0.052703,0.063361,0.058032,0.425,0.9500717994035126
EfficientNetV2SModel_LastBlock,Printed,0.397226,0.056243,0.226734,0.45,0.794300543504872
EfficientNetV2SModel_LastBlock,,0.755934,0.07071,0.413322,0.4,0.8836570801015856
MobileNetV2Model,Fake with Add On,0.104478,0.04665,0.075564,0.525,0.9748326021703995
MobileNetV2Model,,0.839927,0.020501,0.430214,0.275,0.8890109135836365
MobileNetV2Model_LastBlock,CL,0.92703,0.018103,0.472567,0.1,0.6783671346853875
MobileNetV2Model_LastBlock,E-display,0.32564,0.065372,0.195506,0.45,0.8457665656128194
MobileNetV2Model_LastBlock,Fake with Add On,0.164179,0.057481,0.11083,0.525,0.9681366889863773
MobileNetV2Model_LastBlock,Generated,0.288268,0.05547,0.171869,0.475,0.8738829311885612
MobileNetV2Model_LastBlock,PostMortem,0.249013,0.067538,0.158276,0.475,0.9039398236636044
MobileNetV2Model_LastBlock,Print and E-display,0.045174,0.058255,0.051714,0.475,0.9532751574063846
MobileNetV2Model_LastBlock,Printed,0.415633,0.057713,0.236673,0.45,0.803946530872056
MobileNetV2Model_LastBlock,,0.934267,0.054619,0.494443,0.5,0.8701352186148672
MobileNetV3LargeModel,Fake with Add On,0.059701,0.047965,0.053833,0.525,0.9753713538058955
MobileNetV3LargeModel,,0.802191,0.01439,0.40829,0.475,0.8972475804790995
MobileNetV3LargeModel_LastBlock,CL,0.975888,0.008742,0.492315,0.1,0.672126885075403
MobileNetV3LargeModel_LastBlock,E-display,0.299856,0.060653,0.180254,0.5,0.859246427024686
MobileNetV3LargeModel_LastBlock,Fake with Add On,0.044776,0.077673,0.061225,0.375,0.9545909335796198
MobileNetV3LargeModel_LastBlock,Generated,0.351748,0.056785,0.204266,0.45,0.8484696157283289
MobileNetV3LargeModel_LastBlock,PostMortem,0.321895,0.060421,0.191158,0.525,0.8822985387508477
MobileNetV3LargeModel_LastBlock,Print and E-display,0.020463,0.07218,0.046322,0.425,0.9613940130343532
MobileNetV3LargeModel_LastBlock,Printed,0.406296,0.057945,0.232121,0.5,0.803065171620232
MobileNetV3LargeModel_LastBlock,,0.871576,0.061736,0.466656,0.5,0.8672523852014551
SENetModel,,0.785149,0.096008,0.440579,0.425,0.8872263024229529
SENetModel_LastBlock,CL,0.913071,0.016556,0.464813,0.175,0.6721788871554862
SENetModel_LastBlock,E-display,0.289578,0.092217,0.190898,0.475,0.6997618016457341
SENetModel_LastBlock,Fake with Add On,0.029851,0.081386,0.055619,0.5,0.9948433772031093
SENetModel_LastBlock,Generated,0.368622,0.10916,0.238891,0.325,0.7219615728328865
SENetModel_LastBlock,PostMortem,0.435469,0.100805,0.268137,0.45,0.7969665207472717
SENetModel_LastBlock,Print and E-display,0.114479,0.074192,0.094335,0.525,0.7139069921572959
SENetModel_LastBlock,Printed,0.371615,0.082624,0.22712,0.475,0.6329138716153356
SENetModel_LastBlock,,0.907486,0.098716,0.503101,0.375,0.8872263024229529
